Streamer,Viewer Count
maximol2,252
deezy_1904p,25
simipour16,18
igottheit,18
evechanarts,10
mukaju1,7
levelhardgg,7
m4jor_sl4sh,7
srtabellatrix,6
erycksena,7
spoileroso,6
brian_imortal,4
helo_vader,6
ruanzeracf,6
potatoesskill,5
pipoka_ras,4
dznslime,3
dumarqs,5
wodahsoit,4
cimario,6
boaz______,4
herazure,4
viniciusjoestar,3
ciberman,3
tongressi,2
dom_aranao,2
iz_afroo,4
thesayajin1,4
houdini_87,4
redhotsexy,2
nareba_fps,2
rocha_euu,3
yoshirdz,3
d4rksilver911,3
brunoomeloo1,3
tiokleiin,3
mrguixd,3
mikenite10,3
desenhosdosousa,3
briel27111,3
tvirusgamer,7
felippena_,6
pedrosagmz,4
yaseri_,3
pressrfordunk,3
fukakaze1,3
1pxdrofps,2
smata84,2
drogogameplay,2
kesh_jrp,2
anneluby,2
bruno_zonta,1
cventany,1
chiquinho_rp,3
brenobala_,3
kieso2604,3
milke_dibeco,2
coutoxzp,2
oslec67,2
arkbionn,2
pistoleiro_papako,2
giraffaaaa,2
gabriel_tigerbr10,2
mathzer1,2
pskvlr,2
edfame,2
alex_vizinha,1
lsysten,1
grsjj,1
joaocezario_fps,3
nato_camba_ofcc,3
lionnestrelaa,2
luisdozap,2
brggkioyki,1
dgsbug,1
rudeussf,1
ti4g0oliveir4,1
syndraoflotus,2
chaelzn,2
pokefalk,2
adoniszx,2
btkwood,2
bela_yabe___,2
natatsu,1
archeer22,1
alanrafhaelrodrigues,4
zonaretro02,3
caindopracima10,2
ielmp,2
quevedogamer,2
1talianoo,2
d_c_s_trem_bala,2
jajabinho,2
nerdvirgem,1
blgasura,1
lonelynz,1
rlcabral,4
maelzinnn_,3
super_jhames,3
dodo_games_95,3
duz_1979,2
fqueirozn,2
raiozx_f,2
paulopl8520,2
doom1707,2
teodoro910,2
moonndyle,2
rafamangaa,2
srhte,1
trembalavn,1
marretaapretaa4,1
theyryof,5
simonfirz,2
ja1xzin,1
khunnn1,1
gwplayyt,1
duckcaption,1
kcombate,1
tiosanguinario,1
sheltox_gaming,1
eolu4n,2
papabesty1,2
pauloceesar0,2
srkael71,2
atlaas_stark,1
1troyer,1
eudsom94,1
ispongezz,1
bauer_nice,1
jordani_034,1
rromao09,1
colefeio,1
rodrigomendesd,1
dionathan188,1
tmbernardino,1
tocadacobra,1
noobmestre_live,1
diguesa,1
jaonettoo,1
jotamartins25,1
jonwiike,2
kuroganeyuki,2
ghostnuel07,1
rwmrafera,1
rasteirodamoita,1
fnx_speedyfox,1
kauaaafps,1
gabrielm1212,1
fadotomas,1
dkzzfps,1
dokled1,1
anthonygodp98pppo,1
trynottoscream,1
sidezor128,1
ronie_m23,1
luizhellsing421,1
fl4shpoint1,3
birds_eye,2
guaravitinho,1
diieegotv,1
mouhz,1
chiquexxllr,1
silvershadowbolter,1
vhxgamers,1
gusstzx,1
canhotin92,1
martins1st,1
igorvinial,1
playbrasilgameplays,1
looboz,1
lucasvtrem,1
agtnet,1
cleytoncampos1,1
azooxxgamer,1
carlosandre_13,1
joabruri,1
f0x3r___,1
celsopaiva20,0
csilvagamer,2
deyvidf3r,2
gauchoo46,1
easyhit1l,1
bagasdoces,1
moontuga,1
50tdf,1
renatinhopedecabra,1
bruno_hit,1
patrickveiria,1
sacoolinha,1
nhathalha,1
caspotinho,1
goda_ff,1
luanananaba,1
pexerino18,1
kbelinho1994,1
marcossnop,1
dorocao,1
felipemito1994,2
odefault2023,1
cabritos_2,1
sempregustavo,1
kekeobom,1
xsweet_exe,1
xaaropeeee,1
ogonnnnnn,1
marcosviitor,1
biel4red,1
darkheartclips,1
leochiletv,1
pedro_rigato,1
kiarayameno,1
marcos_edit_,1
rdzinnho_,1
greatz92,4
gamerinvest,2
tchellinn,2
rdrazor,1
lukayad,1
rolloviking,1
dabisupplyco,1
daltonbr__,1
adymonteiro,1
lambuzana,1
victormarques2013,1
junior_raamos,1
deshzn,1
nildothc,1
frmasterkgamers,1
brghost175,1
lagooo99,1
hayrooh,1
pedro_hagen,1
jony0ne,1
bigjonson77,1
febretv,1
rodrigomalvadesa07,1
blackunicornioo,1
leonigor,1
crialegends,1
meninoqueiroz,1
gabrielcjm96,1
gumury1,1
pauloschulz_,1
ntklizin,1
limobaicb89,5
blaze_fx_,1
caduvitali,1
miraiyukiyy,1
manin1007,1
remindstreamer,1
maktubebrs,1
ikal_l,1
didi_on_twitch,1
hashtegi,1
feelzlink,1
the__oga,2
ronesjunior,2
semlimitt,2
g0t0wer,1
martimp_s_16,1
henriquemangiamg,1
blacknoir_7,1
ademaneiro,1
jolepp,1
duckzx32,1
titangt021,1
okrisferreira,1
mynameisalves,1
negon_12,1
opa0e,1
karasunagi,1
luis_vizu,4
loscapolive,2
mokadraw,1
yjuanp,1
jujukong,1
hammertrax,1
bv4z,1
ic3dzz,1
tb_guelzin,1
s2akzin,1
sepuvida,1
ddeseprime,1
ottext,1
nubsgame123,1
agnaoriana,1
rellikfps_,1
zxr3n3g4doxz,1
mjkillers1,2
hiswalker,1
bruno_ucla,1
elshooter1998,1
fravioon,1
xanddytomaz,1
tioohard,1
imabatima,1
dkdener,1
zandelic,1
zeusv8a,1
clarkrn,2
arcanjo813x,1
allanpantera,1
abellw07,1
miguel3641,1
alergue_,1
matheusrfhc,1
draccke,1
uesleitelesgamer,1
senpai_ofcial,1
sobby_067,1
baianodosfps,1
samuelvalente99_,2
plantao_,1
cuplatiinado,1
ghostplay002,1
thinodasplays,1
thziin_x6,1
roneyferreira32,1
lukziinfps,1
zezinho_twitch,1
mauriciolouco22,1
kptaox,1
heroleandrovski,1
hanlol1,1
jonataspizzi,1
gabe_gs777,1
paulomelim1,0
lordcg12_,2
vingel_90,1
samurai_blek,1
ekkonicomono,1
fabiofarsura,1
joaoeduardo2000_,0
gvf_wildrift,0
tugamindz,0
maidlinsky,0
tiudosoju,0
pedro1970esteves,0
puts_grile,0
dazzin2,0
macieldoceu,0
marcinhosp6767,0
kagaco,0
jackhoshino,0
cookievs02,0
henrique11111,0
o_pereira_delas,3
erickzera2,1
raambo13,0
khiara_djgg,0
gustavoxl247,0
byelmacedo,0
tavares_black_gamer,0
edneys,0
ogeneral99,0
valdobrmt12,0
lucastrem92,0
isnown,0
kcau_oliv,0
carlinhosgamer97,0
dtars0,0
tirreksgamer,0
luizgame1010,0
jhonizera789,0
elielson85,0
laranjola153,0
nersneres,0
gustavotuby,0
joeu98,0
ninj4mestre,7
pjobling,4
fakes99_,6
chininharp,5
wr_lives,3
ozedefonez,2
asunie1,2
andregomes187,4
mouragamers,4
vdiogo1,2
lohattv,3
renneritoo,3
henriqueccassio,3
danificati0n,2
levisferrari,2
jdg_oficial,1
teus_sabotage,2
radioativo0,2
vzrv_,2
fasalink,1
dinho8290,2
sdgbzada,1
frc_burgues,1
rafaelw,2
captainmeiiodas,2
que_marioo,1
didimitoo,1
srgringoaf,1
levizozza,1
orodolfoda,1
aslleyantony,1
yusuketop1,1
davi2469865,1
darntyz,1
pedro97391948aaaa,1
dltbgzo,1
0zelele,1
chrystianzico,1
junior_soad,1
itsmesimei,1
trafalgart,1
falconzero,1
llbrekll,2
garenpicudo,0
scalobaplay,15
pedrin4509,1
neon_games123,1
punkiiller,0
jookah231,0
shuzim,0
omandrakee,0
fnx_maximus,1
loganz_gamer,1
hauntssnow,1
rany719,1
supermauro1611,1
headshotninjabr,1
allysuu,1
